FileName,Method,ClassName,Severity,Smell
DocumentParseFixture.java,,DocumentParseFixture,1,data-class
Frameworks.java,,Frameworks,1,data-class
TableParseFixture.java,,TableParseFixture,1,data-class
Divide.java,,Divide,1,data-class
FixtureNameFixture.java,,FixtureNameFixture,1,data-class
Table.java,,Table,1,data-class
StandardAnnotationFixture.java,,StandardAnnotationFixture,1,data-class
Money.java,,Money,1,data-class
FixtureLoadFixture.java,,FixtureLoadFixture,1,data-class
Color.java,,Color,1,data-class
HtmlToTextFixture.java,,HtmlToTextFixture,1,data-class
Equals.java,,Equals,1,data-class
AnnotationFixture.java,,AnnotationFixture,1,data-class
TextToHtmlFixture.java,,TextToHtmlFixture,1,data-class
Summary.java,,Summary,1,data-class
FileRunner.java,,FileRunner,1,data-class
ColumnFixture.java,,ColumnFixture,2,data-class
ScientificDouble.java,,ScientificDouble,1,data-class
ActionFixture.java,,ActionFixture,1,data-class
TypeAdapter.java,,TypeAdapter,1,data-class
Fixture.java,,Fixture.RunTime,1,data-class
TypeAdapter.java,,TypeAdapter.ClassByteAdapter,1,data-class
GrammerException.java,,GrammerException,1,data-class
ParsingException.java,,ParsingException,1,data-class
SourceCodeParser.java,,SourceCodeParser,4,data-class
JavaClassDumpper.java,,JavaClassDumpper,1,data-class
ModelAttribute.java,,ModelAttribute,3,data-class
ModelExtension.java,,ModelExtension,3,data-class
ModelExtensionPoint.java,,ModelExtensionPoint,4,data-class
ModelParameterDef.java,,ModelParameterDef,3,data-class
ModelPluginFragment.java,,ModelPluginFragment,4,data-class
SourceCodeParser.java,,SourceCodeParser.OpcodeWrapper,1,data-class
Attribute_Code.java,,Attribute_Code,1,data-class
WeekendHolidayCalendar.java,,WeekendHolidayCalendar,1,data-class
HolidayCalendarFactoryImpl.java,,HolidayCalendarFactoryImpl,1,data-class
PlainSwap.java,,PlainSwap,4,data-class
FloatPeriod.java,,FloatPeriod,4,data-class
DOMParser.java,,DOMParser,1,data-class
DOMFragmentParser.java,,DOMFragmentParser,1,data-class
SAXParser.java,,SAXParser,1,data-class
HTMLTagBalancer.java,,HTMLTagBalancer,4,data-class
HTMLScanner.java,,HTMLScanner,4,data-class
HTMLScanner.java,,HTMLScanner.ContentScanner,4,data-class
HTMLScanner.java,,HTMLScanner.LocationItem,3,data-class
MemoryUsage.java,,MemoryUsage,1,data-class
MemoryUsage.java,,MemoryUsage.MemoryComparator,1,data-class
Result.java,,Result,2,data-class
JMSBroadcastingListener.java,,JMSBroadcastingListener,1,data-class
JavaGroupsBroadcastingListener.java,,JavaGroupsBroadcastingListener,1,data-class
AbstractConcurrentReadCache.java,,AbstractConcurrentReadCache,3,data-class
CacheEntryEventListenerImpl.java,,CacheEntryEventListenerImpl,3,data-class
CacheEntryEventType.java,,CacheEntryEventType,1,data-class
Registry.java,,Registry,1,data-class
Registry.java,,Registry.CmpArrays,1,data-class
QuiltRegistry.java,,QuiltRegistry,1,data-class
FmtSelector.java,,FmtSelector,2,data-class
GraphTransformer.java,,GraphTransformer,3,data-class
GraphXmlSerializer.java,,GraphXmlSerializer,1,data-class
PrintXmlBean.java,,PrintXmlBean,3,data-class
TableFrameXmlBean.java,,TableFrameXmlBean,4,data-class
ZoomerXmlBean.java,,ZoomerXmlBean,3,data-class
TableFrameControllerXmlBean.java,,TableFrameControllerXmlBean,4,data-class
BooleanLiteralAST.java,,BooleanLiteralAST,1,data-class
ParenthesizedAST.java,,ParenthesizedAST,1,data-class
FloatLiteralAST.java,,FloatLiteralAST,1,data-class
JavaLexer.java,,JavaLexer,3,data-class
MT940.java,,MT940,3,data-class
MT940.java,,MT940.CanceledException,1,data-class
MT940.java,,MT940.MT940FileFilter,1,data-class
QIF.java,,QIF,3,data-class
MainFrame.java,,MainFrame,3,data-class
Version.java,,Version,1,data-class
CharacterRange.java,,CharacterRange,3,data-class
ParseEngine.java,,ParseEngine,3,data-class
NonTerminal.java,,NonTerminal,3,data-class
TokenProduction.java,,TokenProduction,3,data-class
OptionsDialog.java,,OptionsDialog,2,data-class
OptionsDialog.java,,OptionsDialog.PaneNameRenderer,1,data-class
EnhancedDialog.java,,EnhancedDialog,1,data-class
ActivityLogDialog.java,,ActivityLogDialog,1,data-class
jsXe.java,,jsXe,3,data-class
DOMOutput.java,,DOMOutput,3,data-class
IgnoredBuilder.java,,IgnoredBuilder,1,data-class
CheckboxTableDecorator.java,,CheckboxTableDecorator,1,data-class
MultilevelTotalTableDecorator.java,,MultilevelTotalTableDecorator,2,data-class
MultilevelTotalTableDecorator.java,,MultilevelTotalTableDecorator.GroupTotals,3,data-class
TagConstants.java,,TagConstants,1,data-class
SimpleStorage.java,,SimpleStorage,2,data-class
ByteStore.java,,ByteStore,3,data-class
ObjectInputStreamSupport.java,,ObjectInputStreamSupport,1,data-class
MonitorNotification.java,,MonitorNotification,3,data-class
Monitor.java,,Monitor,1,data-class
SimpleMLet.java,,SimpleMLet,4,data-class
ByteBufferOutputStream.java,,ByteBufferOutputStream,2,data-class
JarFileList.java,,JarFileList,1,data-class
QuickServer.java,,QuickServer,4,data-class
TheClient.java,,TheClient,4,data-class
PoolConfig.java,,PoolConfig,4,data-class
Data.java,,Data,3,data-class
PluginArchiver.java,,PluginArchiver,2,data-class
PluginRegistryImpl.java,,PluginRegistryImpl,3,data-class
CustomPermissionsURLClassLoader.java,,CustomPermissionsURLClassLoader,1,data-class
PoolElement.java,,PoolElement,4,data-class
ConnectionPool.java,,ConnectionPool,1,data-class
Server.java,,Server,4,data-class
UML2JagGenerator.java,,UML2JagGenerator,4,data-class
Jag2UMLGenerator.java,,Jag2UMLGenerator,2,data-class
ProgressDialog.java,,ProgressDialog,1,data-class
JagGenerator.java,,JagGenerator,4,data-class
Field.java,,Field,3,data-class
SphericalLens.java,,SphericalLens,1,data-class
PinholeLens.java,,PinholeLens,1,data-class
LightSample.java,,LightSample,2,data-class
RPObjectDAO.java,,RPObjectDAO,1,data-class
BanListDAO.java,,BanListDAO,1,data-class
LoginEventDAO.java,,LoginEventDAO.LoginEvent,2,data-class
RPObject.java,,RPObject,4,data-class
ChangeRequest.java,,ChangeRequest,1,data-class
CollectionPermutationIter.java,,CollectionPermutationIter,1,data-class
IntegerPermutationIter.java,,IntegerPermutationIter,1,data-class
DeclaredExceptionTable.java,,DeclaredExceptionTable,1,data-class
Attribute_info.java,,Attribute_info,1,data-class
OptsParser.java,,OptsParser.OptDef,4,data-class
InstrVisitor.java,,InstrVisitor,4,data-class
BridgePatternParser.java,,BridgePatternParser,1,data-class
ThreadPatternConverter.java,,ThreadPatternConverter,1,data-class
LogBrokerMonitor.java,,LogBrokerMonitor,3,data-class
LogTable.java,,LogTable,1,data-class
EventDetails.java,,EventDetails,3,data-class
ConnectionFactory.java,,ConnectionFactory,1,data-class
AbstractAxionBlob.java,,AbstractAxionBlob,1,data-class
